2011221381-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,DE-HOUTMANSTRAAT,DO,21/07/2011,16.00,VR,22/07/2011,16.00,2011,7,VR,00.00-05.59,DAMES,FIETS,RALEIGH,STRIKE,ROZE
2012366505-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,STATIONSWEG,DI,05/06/2012,17.55,DI,05/06/2012,23.05,2012,6,DI,18.00-23.59,DAMES,FIETS,SPARTA,0,ONBEKEND
2011221503-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,STATIONSWEG,VR,22/07/2011,12.30,ZO,24/07/2011,21.00,2011,7,ZA,12.00-17.59,HEREN,FIETS,GAZELLE,0,ROOD
2013100037-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,HARMONIESTRAAT,DI,02/04/2013,12.00,DI,02/04/2013,15.00,2013,4,DI,12.00-17.59,DAMES,FIETS,OPOE,0,ZWART
2012386909-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,BONTE-CRAYSTRAAT,DI,12/06/2012,17.00,WO,13/06/2012,08.00,2012,6,WO,00.00-05.59,SPORT,FIETS,RANGER,REFLECTION,GRIJS
2013100310-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,SCHEEPVAARTPLEIN,ZO,31/03/2013,23.00,MA,01/04/2013,15.30,2013,4,MA,06.00-11.59,DAMES,FIETS,SPARTA,AMAZONE,GROEN
2012379728-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,01-STRAND-EN-DUIN,RONDGANG,DO,14/06/2012,17.15,DO,14/06/2012,18.00,2012,6,DO,12.00-17.59,KINDER,FIETS,ALDO,BASIC,ZWART
2013104902-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,PRINS-HENDRIKSTRAAT,MA,01/04/2013,04.00,MA,01/04/2013,07.30,2013,4,MA,00.00-05.59,DAMES,FIETS,GAZELLE,PRIMEUR,GRIJS
2012316021-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,PRESIDENT-JAN-LELSSTRAAT,VR,13/04/2012,19.00,ZA,14/04/2012,14.15,2012,4,ZA,00.00-05.59,DAMES,FIETS,CORONA,DAMESFIETS,BLAUW
2011288681-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,STATIONSWEG,ZA,24/09/2011,13.30,ZO,31/01/2012,21.00,2011,11,MA,00.00-05.59,ATB,FIETS,GIANT,.,BLAUW
2012204845-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,PRINS-DER-NEDERLANDENSTR,WO,09/11/2011,23.00,DO,10/11/2011,17.00,2011,11,DO,06.00-11.59,DAMES,FIETS,BATAVUS,CRESCENDO-LN7,ROOD
2012202260-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,RIETDIJKSTRAAT,DI,20/12/2011,08.00,DI,20/12/2011,22.30,2011,12,DI,12.00-17.59,HEREN,FIETS,GAZELLE,MEDEO,BLAUW
2011292300-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,01-STRAND-EN-DUIN,HAVENWEG,VR,30/09/2011,08.10,VR,30/09/2011,21.45,2011,9,VR,12.00-17.59,DAMES,FIETS,GAZELLE,ARTMAP01-TOEGEV,ZWART
2011021834-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,01-STRAND-EN-DUIN,DOKTER-DIAMANTLAAN,WO,19/01/2011,08.00,WO,19/01/2011,22.45,2011,1,WO,12.00-17.59,DAMES,FIETS,GAZELLE,A7018--?,GROEN
2011282769-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,RIETDIJKHOF,DI,20/09/2011,18.00,DI,20/09/2011,21.30,2011,9,DI,18.00-23.59,DAMES,FIETS,GAZELLE,.,GROEN
2011026916-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,MERCATORWEG,MA,24/01/2011,19.00,MA,24/01/2011,23.00,2011,1,MA,18.00-23.59,DAMES,FIETS,GAZELLE,OPOE-FIETS,ZWART
2012218425-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,RIETDIJKSTRAAT,ZO,15/01/2012,14.00,ZO,15/01/2012,20.30,2012,1,ZO,12.00-17.59,HEREN,FIETS,ONBEKEND,.,GRIJS
2012210331-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,RIETDIJKHOF,DO,05/01/2012,06.55,DO,05/01/2012,22.45,2012,1,DO,12.00-17.59,DAMES,FIETS,BATAVUS,WEEKEND-D48-N8,BEIGE
2011024838-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,STATIONSWEG,MA,24/01/2011,07.15,MA,24/01/2011,15.45,2011,1,MA,06.00-11.59,DAMES,FIETS,UNION,SWITCH-D53-10,BLAUW
2011373339-1,DISTRICT-1,HOEK-VAN-HOLLAND,HOEK-VAN-HOLLAND,02-DORP,STATIONSWEG,WO,09/11/2011,07.15,WO,09/11/2011,18.15,2011,11,WO,12.00-17.59,DAMES,FIETS,BATAVUS,CRESCENDO-D-N7,ZILVERKLEURIG
